variableMetadata	meta2
V1	ER
V2	GGG
V3	GGG
V4	GGG
V5	GGG
V6	CE
V7	CE
V8	CE
V9	TG
V10	TG
V11	TG
V12	TG
V13	TG
V14	AM
V15	AM
V16	AM
V17	AM
V18	AM
V19	AM
V20	AM
V21	AM
V22	AM
V23	AM
V24	AM
V25	AM
V26	AM
V27	AM
V28	AM
V29	AM
V30	AM
V31	AM
V32	ER
V33	ER
V34	ER
V35	ER
V36	ER
V37	CER
V38	CER
V39	CER
V40	CER
V41	CER
V42	CER
V43	CER
V44	CER
V45	CER
V46	CER
V47	PP
V48	PP
V49	PP
V50	PP
V51	PP
V52	PP
V53	PP
V54	PP
V55	PP
V56	PP
V57	PP
V58	PP
V59	PP
V60	PP
V61	PP
V62	PP
V63	PP
V64	CC
V65	CC
V66	CC
V67	CC
V68	CC
V69	CC
V70	CC
V71	CC
V72	CC
V73	CC
V74	CC
V75	CC
V76	CC
V77	CC
V78	CC
V79	CC
V80	CC
V81	CC
V82	CC
V83	CC
V84	CC
V85	SM
V86	SM
V87	SM
V88	SM
V89	SM
V90	SM
V91	SM
V92	SM
V93	SM
V94	SM
V95	SM
V96	PI
V97	PI
V98	PI
V99	PI
V100	PI
V101	PI
V102	PI
V103	PI
V104	PI
V105	PI
V106	PI
V107	NG
V108	NG
V109	NG
V110	SO
V111	SO
V112	SO
V113	SO
V114	SO
V115	SO
V116	SO
